githash,ipc,KIPS
a1cee07ddc95fd45c4a586ecb19f7abc36ab09bb,2.06823,166
8b0c5f17eca909782ba17d12513f6ad4ae9a2284,2.06823,142
7c6cffcaad499c9a5ba132feac6aa2780a089875,2.06823,166
4e3fbcebd9071d2425b59ff6b0ea1e0eddd5ddc4,2.06823,200
0e14a5fbb6d26dcb170a824ce03f5d4f376d428d,2.06823,200
90c7877be95ad15dc3f84e4836de0c0565c805cc,2.06823,166
2feb874a32c7eb3fd2ee6411e2f16db0f2eb36e9,2.06823,166
c4512ef139a0ebabf9863df50c06f1843734d93e,2.06823,166
17b287579dbcc84b3eb4964b5933bf6ba909b46b,2.06823,166
8e4f012da26a42622b2c4f37e36db9b83a116fde,2.06991,166
6a4e29a799af510b474611e501aace24b684c434,2.06991,166
9a57b6ffb6ab2821275da92b5636b7273ec6b380,2.06991,166
1652748ae348c854cb6a0dbb3a45897a6ad2133c,2.06820,166
4a03b768fcbe57b9f59e06fc6a29d83d8b7d25c0,2.06820,166
69d92b0dd8ec5e8fe22254d465bba718a1107c8b,2.06820,166
31726d8b06c5840d6f8cf7541f605a66d9ff1a83,2.06820,166
8d95e0b0486d853920f595f703e36042fa98b8a8,2.06820,166
887ef4f39dd612755e3044827b66981289bd2c49,2.06726,166
2294e1428ea00131bc03d1a89bf562e3ed0bb9d6,2.06726,142
81d787f5b643ff9a4ac453aa3e4a0c3cf226a9d3,2.06726,166
8489bbb83f64be8b680564013085257757ff9165,2.06726,166
824cd830f964383ab019d99ab53d6f659e3e59ea,2.06726,166
50f7a15143218adcf6329409a4d2f8957d66ed02,2.06726,166
f59556a2584bcff2c72c87273b71677f32e5d6c6,2.06726,166
3499d58d1c47fac4b0dca5d66abe182ea689c295,2.07030,166
547400f37b249291a48d87cf3c926f5d845465ab,2.07030,200
4bfd6bd7bd9adca60e4d60e4f6623bde328933bf,2.07030,166
f7139de9ba6a6d78641eb54b6fcb01c97654c4e1,2.07030,166
f335dfd9930621468f6b833f737c24f3cc89438c,2.07030,166
18e2724c3d058b1f11428d2ae13eed8d25931a7b,2.07030,200
b7cf2b3ba35746ed61eeda627955d26d04effa39,2.07027,166
2a05b45c9854fbc1cad902e5d16accb81c8d3553,2.59834,166
00371a417c5f08b17beb8413fd4ef4d43252bf98,2.59834,200
a43f499d4ab324e33ab7881e36c6284b74b0f3ad,2.59834,166
5184e6aab6b1020a66ec6e6e287210c6d4235e3d,2.59834,142
d1dc5e6186785a936c0e416265980b14c4a97eb9,2.59834,142
8d5caee592ab746750b579e63438fce0ab7b67d3,2.59834,142
0d4a53b86f587f365d6d739146070745451bbbfe,2.59834,142
5dea58912f41d890ce982f6fa0128370b91925f2,2.59834,142
a76e51c614b082bedfe297594fc193c83ec9d7e6,2.59936,142
d2853c878396fc02d4a25b6cae2a705636e2dd8a,2.59936,166
ce92c32c28af832f19adb1facd9ae0bf23e187b4,2.59936,142
9c61a1504e03aeab3dd1c56ae8f3315024fa0d5c,2.59936,125
19f5020604b7f7910c3ad26a4d5568b0a5861bca,2.59936,142
27fd74132a0a4a2539ca033da6cb1272e3c50c5e,2.59936,125
b8c834eb4a47f4f46e85ed460dad64515ab4f792,2.60499,142
bc7df429241b33ade8ca74db1ceaf20ebe94959b,2.60499,125
f2d0bc85898b2cff292934d4dcf8cc3c6bba8203,2.60499,142
4da25da04a78b163f439d10f53d01272122c5913,2.60499,125
024c23bc65c7d76408ac6dda51c441c1cff616c3,2.60499,125
3fb11f86a7662978bf9d18d53ffde5079bfede9e,2.60499,142
c6efebd55f706e39427ce4f2c76458fb03e41607,2.60499,142
a92f3cfe58dd58581013ba6787001def199b1984,2.60499,142
5e7a45062aa33c8213aa4c02c57763da78e5e87e,2.60499,125
eebe2796169a10ac1b7a94dbbb6febe513a8744f,2.60499,100
cc8a749486ccfec18218c5fb67cb4f7d1a771f69,2.60499,142
ee729e99e51e3ee9adefbb641282f42cd6715f1a,3.37619,125
976c573ddb27c21b384a8aed179059a216eea0b4,3.38566,111
621b6ccb245c80c47690801526cb902ddbb7a25e,3.57214,125
b6a16d59857bd6f480f5c63483cedd6f5b3e6e1a,3.58361,142
3e2dbf80001569b0eae9ea2f4f37a0af199b2249,3.58365,142
4975f89bae56ce0ea9ebeeb4dedbd94d8a2478d8,3.58365,142
88b986fa037fa2d84155088fdbea5da061111560,3.58365,142
b9217c6a39202c2e57ba5f35ab479723383459a1,3.58365,142
2622bb0e34e7d188ad6eeb9d031ad02526478af7,3.58365,142
17e4c3682085a808c16a6500eb743da4efc39b1c,3.58365,142
fa15e3b1f83080f7f6dbc1d57b351c12993f4bd8,3.58365,142
98dc727eed31eb26374c06dd07bd73bd04988d89,3.58365,142
273a57c497cb50793618e4b482ec5898a3ec5feb,3.58365,142
b34ab22472469395f76d293446691a9bae23b5d0,3.58365,125
946c1d41db516e9170551be5361a50b93e506236,3.58365,125
62d647543620f9c033152d3fc3395a53b12f8deb,3.58365,142
af5016c479d850b0b9e1a7f40183a85d03d326eb,3.58365,100
44128fe0a72d983a409c5243490fbba8bcf1e75c,3.58365,142
b72cf760e7c107b6221ba8037302cb550d7bcb43,3.58365,142
56e60dd53eb289127fe4485a073825099bd96d47,3.58365,142
204096d9c6c0d068108902dc674253966f56c547,3.58365,142
4d1e2dcbd9c4b6404c80b7f8cf8bb4e6a53dc61c,3.58365,250
7e016d447bb0704db59e92e4d0401f7cd55cfa1f,3.58365,200
3796e56241aae72c59c0c35ae390395ef4e9132d,3.58365,200
e0b314f647f4c5f15026b37b8904039e0648e711,3.58365,200
29b9acb0b469200ca818feeacc243ae989134b5c,3.58365,200
f81825be3d8abec411bbfb63606f340463655646,3.58365,200
79fe8f56da06de715aabf74c93129f76b590c7bf,3.57539,200
4ee76df9fe376606a99e5f9c8cb3af381d4a0ee9,3.57539,200
044c8f95e5b121fd013266905add6c5e135a4326,3.57539,200
fe4e59b40b635e253ee178e7aa4965c8269805c8,3.57539,200
10c25a923180cf36d5c95f277df22004d7fd4355,3.57539,200
d0809ba5142d2e1619f403ff6c009c9a550fb86a,3.57539,200
39bccdfa3943590cd8122c8a07e67137fcb90b4f,3.57539,166
a1df8c9f75dea78af0c03698ced8c0f4e01039f4,3.57539,200
4a1223f95cb2b7306a9abd05b3b9532152a3bfb2,3.57539,200
e892dbda032515645cd9db36f1f4be35496af26f,3.57533,250
17670fe90df7d45c46e9f365baaf3573b986bc4c,3.57533,166
afde82afb99048bb1895ea00eb4f6fcca9ce41c5,3.56933,250
21e3122d9f216dca75dcf8b3cf5e880580a25068,3.56933,166
31936d4af75097741698d5d27db2b612aefbcde9,3.56933,200
6d4ddaf3ddf02bd047514d4d8af890661b75f77f,3.54266,166
fdd59ebb6c1ff43260ca005b400dfd560e36dd7e,3.54266,200
